id,action,value,created_at,user_id
2359,enter,โรงอาหารโต้รุ่ง,2018-02-28 10:26:39.844449+00,105
2360,กรอกประวัติความหิว,M_xqz,2018-02-28 10:28:57.725606+00,105
2361,enter,home,2018-02-28 10:29:04.853444+00,105
2362,enter,โรงอาหารโต้รุ่ง,2018-02-28 10:29:31.644952+00,105
2363,enter_store,เครื่องดื่ม ยำผลไม้ ผลไม้,2018-02-28 10:29:58.193042+00,105
2364,enter_store,น้องแนนหมูปิ้ง,2018-02-28 10:30:28.39714+00,105
2365,enter_store,ผัดไท หอยทอด ราดหน้า,2018-02-28 10:32:24.344269+00,105
2366,enter,home,2018-02-28 10:33:09.250157+00,105
2367,search_cate,สเต็ก,2018-02-28 10:33:44.13454+00,105
2368,search_cate,อาหารไทย,2018-02-28 10:33:49.054327+00,105
2371,enter,home,2018-02-28 10:46:33.455109+00,107
2372,search_cate,สเต็ก,2018-02-28 10:46:51.827052+00,107
2373,search_cate,เครื่องดื่ม,2018-02-28 10:46:54.348878+00,107
2374,search_cate,อาหารไทย,2018-02-28 10:46:58.86667+00,107
2375,enter,home,2018-02-28 10:49:12.160616+00,105
2376,enter,โรงอาหารโต้รุ่ง,2018-02-28 10:49:14.185692+00,105
2377,enter_store,น้องแนนหมูปิ้ง,2018-02-28 10:49:27.622328+00,105
2378,เพิ่มเข้าตะกร้า,หมูปิ้ง,2018-02-28 10:49:31.200844+00,105
2379,เพิ่มเข้าตะกร้า,หมูปิ้ง,2018-02-28 10:49:32.944559+00,105
2380,เพิ่มเข้าตะกร้า,หมูปิ้ง,2018-02-28 10:49:34.245853+00,105
2381,เพิ่มเข้าตะกร้า,หมูปิ้ง,2018-02-28 10:49:34.856342+00,105
2382,เพิ่มเข้าตะกร้า,หมูปิ้ง,2018-02-28 10:49:41.796111+00,105
2383,เพิ่มเข้าตะกร้า,หมูปิ้ง,2018-02-28 10:49:42.575048+00,105
2384,เพิ่มเข้าตะกร้า,ไก่ย่าง,2018-02-28 10:49:47.070858+00,105
2385,เพิ่มเข้าตะกร้า,ไก่ย่าง,2018-02-28 10:49:48.348918+00,105
